Zeit in ms, Spannung in Einheitslos
4170037,0
4705985,0
5233271,0
5670730,0
6124288,0
6517055,0
6834877,0
7271716,0
7733455,0
8225503,0
8659951,0
9152206,0
9580747,0
10058265,0
10519184,0
11019071,0
11453593,0
11927390,0
12379832,0
12803499,0
13299010,0
13726730,0
14214296,0
14638588,0
15131386,0
15587214,0
16080750,0
16516958,0
16995329,0
17435104,0
17867625,0
18351571,0
18787429,0
19277568,0
19711251,0
20222747,0
20663483,0
21152632,0
21614794,0
22124153,0
22568069,0
23105336,0
23549086,0
24049275,0
24493234,0
24957503,0
25417170,0
25852140,0
26360670,0
126725533,0
1697338714,0
1697837151,0
1701383680,0
1705433026,0
1709457189,0
1709959225,0
1714203191,0
1717775959,0
1721734663,0
1722299777,0
1725920034,0
1730581425,0
1734026943,0
1734531713,0
1739387923,0
1744152066,0
1747081942,0
1747592635,0
1750641469,0
1754506304,0
1758598072,0
1763257579,0
1763789205,0
1767056450,0
1773496756,0
1777947933,0
1778625772,0
1779309413,0
1785042927,0
1787228531,0
1787676448,0
1796205545,0
1796649874,0
1799456010,0
1799983825,0
1803814204,0
1807864364,0
1813345802,0
1813814219,0
1816023225,0
1820041952,0
1824690765,0
1828516778,0
1828964361,0
1832513101,0
1837979937,0
1841652730,0
1842287033,0
1844732287,0
1849486483,0
1852751537,0
1853308246,0
1857540070,0
1861092344,0
1866141673,0
1866617890,0
1871191145,0
1875161358,0
1878597120,0
1880201313,0
1882639977,0
1888588277,0
1891713398,0
1893646199,0
1894105209,0
1899549425,0
1904214136,0
1907413101,0
1910352185,0
1911131352,0
1915518884,0
1919220072,0
1920846651,0
1923738077,0
1927415787,0
1931086744,0
1931687200,0
1938462852,0
1939058905,0
1942914854,0
1943394479,0
1947232408,0
1952351925,0
1955722745,0
1959338652,0
1961076009,0
1963592951,0
1968032780,0
1971541782,0
1971974091,0
1975912170,0
1979742327,0
1983603914,0
1983906924,0
1988349323,0
1995619708,0
1995807195,0
1995999434,0
2002509623,0
2004116702,0
2008100051,0
2008254261,0
2012259304,0
2016298475,0
2020418637,0
2024426044,0
2024535594,0
2028587392,0
2032643295,0
2036806609,0
2036932611,0
2040890357,0
2044994420,0
2049061276,0
2049150117,0
2053108427,0
2057265382,0
2061971730,0
2062283068,0
2065429236,0
2069512331,0
2073582688,0
2077670542,0
2077789521,0
2081943226,0
2085955645,0
2090027719,0
2090345001,0
2094155731,0
2098320175,0
2102381679,0
2102551364,0
2106482272,0
2110661912,0
2114672428,0
2114953275,0
2120153542,0
2122965704,0
2128318427,0
2130926006,0
2133391274,0
2135190972,0
2139851461,0
2145923926,0
2146260143,0
2148300269,0
2151618056,0
2156332372,0
2156622459,0
2160277026,0
2163969096,0
2168241216,0
2168552717,0
2172665368,0
2176295702,0
2180290349,0
2180577579,0
2184403950,0
2188514022,0
2192496161,0
2192761233,0
2196758978,0
2200765227,0
2204857181,0
2208970480,0
2209240138,0
2213216622,0
2217810359,0
2221367898,0
2221654985,0
2225548522,0
2230194346,0
2233442981,0
2233696395,0
2237649905,0
2242741424,0
2245739864,0
2246099131,0
2249996158,0
2254054272,0
2258052708,0
2258294033,0
2263221344,0
2266596962,0
2270378817,0
2275343914,0
2275630647,0
2278720588,0
2283216421,0
2286752355,0
2287052006,0
2291420992,0
2295083925,0
2299080617,0
2299360310,0
2303352706,0
2307796353,0
2311341709,0
2311633398,0
2315448761,0
2319500240,0
2323624276,0
2325283178,0
2327788408,0
2331808306,0
2335939888,0
2340369598,0
2341228116,0
2345305806,0
2348286015,0
2352226969,0
2352516683,0
2356466956,0
2362399232,0
2364493758,0
2364698997,0
2368714767,0
2373029775,0
2379032614,0
2379343194,0
2380845278,0
2385018390,0
2389381944,0
2389525372,0
2393121346,0
2397382070,0
2401427559,0
2405311272,0
2405423437,0
2409499315,0
2413582733,0
2417770167,0
2417901180,0
2421780465,0
2425916716,0
2429968667,0
2430100507,0
2434221295,0
2438233277,0
2442202149,0
2442332329,0
2446365139,0
2450439709,0
2454638766,0
2454782275,0
2458656033,0
2462826135,0
2467297607,0
2471136025,0
2471342629,0
2475344622,0
2479981198,0
2483478128,0
2483948131,0
2487931987,0
2492932646,0
2496084752,0
2496488802,0
2503075983,0
2506346512,0
2507974616,0
2508375418,0
2512463759,0
2517654475,0
2520395395,0
2521002523,0
2524792742,0
2529598691,0
2533767214,0
2536809488,0
2537351018,0
2541814615,0
2545459260,0
2550843685,0
2551578544,0
2553325370,0
2557997974,0
2561320272,0
2561723129,0
2567001536,0
2569771126,0
2573557397,0
2575732337,0
2578751815,0
2582936792,0
2585965032,0
2586465341,0
2591172885,0
2594449572,0
2598826418,0
2602556842,0
2603131961,0
2606502555,0
2610974145,0
2614925210,0
2615360747,0
2620327707,0
2622836672,0
2627216043,0
2627714043,0
2631475934,0
2635957546,0
2639175246,0
2639610631,0
2643442633,0
2647564901,0
2651525767,0
2656737789,0
2657450191,0
2659788195,0
2664248667,0
2667786654,0
2668358101,0
2672493858,0
2676171099,0
2681036981,0
2681578165,0
2684777369,0
2688499335,0
2693844629,0
2694412971,0
2696679599,0
2701522490,0
2704641469,0
2705152522,0
2709410993,0
2712696198,0
2717109453,0
2720841219,0
2721038521,0
2724944908,0
2729307964,0
2733034765,0
2733157951,0
2737185713,0
2741219448,0
2745300594,0
2745428639,0
2749472272,0
2753571391,0
2757552504,0
2757658494,0
2761914569,0
2765807607,0
2769817373,0
2769943789,0
2774126588,0
2778351286,0
2782851884,0
2786272721,0
2786429914,0
2790732020,0
2795046343,0
2798699656,0
2798809232,0
2803075740,0
2806811408,0
2810804612,0
2810989344,0
2816354665,0
2819116816,0
2823240093,0
2823373391,0
2827417758,0
2831331810,0
2835573645,0
2836502897,0
2839510456,0
2843799064,0
2851056443,0
2851722226,0
2851833552,0
2855981701,0
2860176493,0
2864062558,0
2864197506,0
2868183596,0
2873068996,0
2876338604,0
2876446229,0
2880478632,0
2884640753,0
2888625139,0
2888736410,0
2892741224,0
2897506154,0
2903057383,0
2903169666,0
2905035468,0
2909256501,0
2913428127,0
2917279547,0
2917381167,0
2921471211,0
2925522954,0
2929610317,0
2929713259,0
2933805476,0
2937791495,0
2942655548,0
2942769191,0
2947476583,0
2950083593,0
2954622493,0
2954799785,0
2958404980,0
2962374146,0
2966453010,0
2966580655,0
2970579953,0
2974635956,0
2979124976,0
2982868353,0
2982980499,0
2987197504,0
2991041251,0
2995114703,0
2995244886,0
2999253726,0
3004063826,0
3007999229,0
3008111680,0
3011758981,0
3015745388,0
3019699409,0
3019799596,0
3023811964,0
3027907163,0
3032032027,0
3033987711,0
3036128878,0
3040301047,0
3044389590,0
3048348247,0
3048456470,0
3052510534,0
3059079192,0
3060650977,0
3060792703,0
3065514628,0
3068856386,0
3073026151,0
3073134904,0
3077075804,0
3082174883,0
3085203482,0
3085320946,0
3090092616,0
3093481375,0
3097682418,0
3097813657,0
3101658670,0
3105732664,0
3111084434,0
3114040772,0
3114197853,0
3118293674,0
3122306709,0
3126235308,0
3126324395,0
3132120996,0
3134375728,0
3138467931,0
3138574005,0
3142574041,0
3147121005,0
3156143519,0
3156485989,0
3156630715,0
3159352836,0
3163176760,0
3163383776,0
3167183921,0
3172749633,0
3175377192,0
3179598886,0
3179708777,0
3183961249,0
3187652909,0
3191712226,0
3191815235,0
3197012537,0
3199931391,0
3204020141,0
3204125503,0
3209167123,0
3212778081,0
3217264551,0
3217603913,0
3220752644,0
3224496418,0
3231099012,0
3232919043,0
3233074644,0
3237424028,0
3241558592,0
3245034265,0
3245157108,0
3249087763,0
3253169475,0
3257218406,0
3257336946,0
3263103045,0
3265491965,0
3269803950,0
3270045491,0
3273705432,0
3277760277,0
3281894182,0
3282055424,0
3288095524,0
3290116037,0
3294245199,0
3298197671,0
3298310729,0
3302323713,0
3306454293,0
3311294731,0
3311433573,0
3314799119,0
3318854597,0
3322764682,0
3322897389,0
3326895105,0
3331046933,0
3335074570,0
3335191837,0
3339528122,0
3343803950,0
3347369605,0
3347496105,0
3351481070,0
3355560639,0
3362160663,0
3363788737,0
3363940351,0
3368165504,0
3372487341,0
3376015353,0
3376117118,0
3380242910,0
3384566408,0
3388839733,0
3389599678,0
3392608458,0
3396663236,0
3400579849,0
3400675877,0
3405269177,0
3410948610,0
3413014568,0
3413141547,0
3418031744,0
3421084227,0
3425626904,0
3431959319,0
3432335184,0
3433466046,0
3437708642,0
3441680044,0
3441814682,0
3445731436,0
3451220628,0
3454044984,0
3455985368,0
3459783297,0
3463167795,0
3466176003,0
3466270984,0
3470300866,0
3474577523,0
3478498737,0
3478609954,0
3482627223,0
3487123524,0
3490841760,0
3494969014,0
3495118348,0
3499297191,0
3503039415,0
3508998082,0
3509158980,0
3511259811,0
3515529776,0
3519357561,0
3519483739,0
3523523332,0
3529029510,0
3534867226,0
3535765806,0
3535929638,0
3540080933,0
3544059163,0
3544162688,0
3548138504,0
3552887601,0
3556397945,0
3560412432,0
3560783802,0
3564464384,0
3568549130,0
3573112552,0
3573218446,0
3576952090,0
3580882368,0
3585452006,0
3585592276,0
3589061823,0
3593144844,0
3598766130,0
3598897090,0
3602969118,0
3605454494,0
3609510882,0
3609947505,0
3614172253,0
3617724200,0
3626068625,0
3626212683,0
3627094646,0
3633051304,0
3635078978,0
3638228947,0
3638363257,0
3642515130,0
3648102724,0
3650498061,0
3650614689,0
3654727085,0
3659071154,0
3663441092,0
3663574963,0
3666891566,0
3671000707,0
3675015774,0
3675131504,0
3679306975,0
3684119904,0
3687475263,0
3691413543,0
3691512824,0
3695539319,0
3699631697,0
3706254135,0
3706386896,0
3707820943,0
3713242802,0
3715995876,0
3716091316,0
3720071192,0
3727086339,0
3728257803,0
3728377586,0
3732530171,0
3736693961,0
3740536925,0
3746398517,0
3746553558,0
3749131836,0
3753116352,0
3756908553,0
3757007710,0
3761062850,0
3765333203,0
3770046560,0
3770194554,0
3773426602,0
3777426031,0
3781477897,0
3781622484,0
3785640637,0
3790143646,0
3793795281,0
3793933553,0
3798054752,0
3802034067,0
3806096745,0
3810175894,0
3810282953,0
3815108231,0
3819325369,0
3822443912,0
3822554143,0
3826585327,0
3831033693,0
3834773631,0
3834909895,0
3838976792,0
3843240307,0
3847043375,0
3847140323,0
3851170127,0
3855385278,0
3859368760,0
3859481113,0
3863545021,0
3867561276,0
3871632202,0
3875690088,0
3875813189,0
3879924315,0
3883941545,0
3888033435,0
3888120047,0
3892167050,0
3896257572,0
3900594529,0
3900765235,0
3906981569,0
3908478141,0
3912574270,0
3912690120,0
3916754251,0
3920813537,0
3926274968,0
3926381278,0
3929266794,0
3933309654,0
3937179496,0
3944005035,0
3944128056,0
3945352697,0
3949714766,0
3953545945,0
3953665282,0
3957668491,0
3961752966,0
3965922075,0
3966082357,0
3970713530,0
3974120596,0
3978114283,0
3978222996,0
3982244987,0
3987039846,0
3990482083,0
3990603586,0
3994519806,0
3998612082,0
4003308758,0
4006779449,0
4006925735,0
4012222955,0
4015074335,0
4019070205,0
4019195601,0
4023500317,0
4028362275,0
4031340467,0
4031461420,0
4035483909,0
4039545967,0
4043605885,0
4043720608,0
4049639285,0
4051844667,0
4055935244,0
4056049173,0
4060076123,0
4064107467,0
4070919357,0
4072267768,0
4072375013,0
4077141881,0
4080579234,0
4084565895,0
4084678332,0
4088716520,0
4093244847,0
4096907030,0
4097042803,0
4101115696,0
4107223946,0
4109552164,0
4109686480,0
4113323157,0
4117368498,0
4121449898,0
4121556971,0
4125607560,0
4133403343,0
4134014871,0
4137844898,0
4139955086,0
4142009935,0
4146074235,0
4150120357,0
4150237959,0
4154298333,0
4158366358,0
4162405589,0
4162553760,0
4166581646,0
4171073324,0
4174738860,0
4174859654,0
4178867687,0
4182923964,0
4186999535,0
4187102736,0
4191096142,0
4195237066,0
4199346095,0
4203552172,0
4203650281,0
4207545565,0
4211607209,0
4215733714,0
4215857029,0
4219836183,0
4223860276,0
4228248942,0
4228361636,0
4232113878,0
4236119687,0
4240228651,0
4240336595,0
4244402388,0
4248497911,0
4252533395,0
4256639119,0
4256763243,0
4260830114,0
4265529536,0
4269021826,0
4269177471,0
4273171067,0
4277220187,0
4281225966,0
4281386946,0
4285445269,0
4289600059,0
4293546457,0
4293748034,0
4297692336,0
4301805190,0
4305961482,0
4306268879,0
4310152092,0
4314188092,0
4318172301,0
4322256706,0
4322519435,0
4326508291,0
4330492306,0
4334578496,0
4334789407,0
4338803554,0
4343093694,0
4346817474,0
4347049908,0
4351016533,0
4355615002,0
4359163357,0
4359460784,0
4363542977,0
4367373204,0
4371587420,0
4371914998,0
4375770246,0
4379630738,0
4383793211,0
4387899117,0
4388183141,0
4392082785,0
4396091146,0
4400138477,0
4400351872,0
4404454512,0
4408323730,0
4412372425,0
4412633771,0
4416637537,0
4420946457,0
4424651944,0
4424862263,0
4428838480,0
4432971382,0
4437004731,0
4437306734,0
4441266390,0
4445191551,0
4449427665,0
4453531148,0
4453763728,0
4457493388,0
4461611384,0
4465618452,0
4465848930,0
4469835886,0
4473846487,0
4478159828,0
4478366029,0
4482045090,0
4486244051,0
4490288978,0
4490541826,0
4494477808,0
4498450696,0
4502540103,0
4502789897,0
4506807913,0
4510684711,0
4516311880,0
4518844203,0
4519133267,0
4523124175,0
4527160284,0
4531150803,0
4531382270,0
4535356764,0
4539432849,0
4543629536,0
4543862570,0
4547603407,0
4551798289,0
4558242885,0
4558501536,0
4561227260,0
4564032484,0
4567998335,0
4568242431,0
4572258837,0
4576265829,0
4581026632,0
4584361109,0
4584590405,0
4588807047,0
4592839186,0
4596746717,0
4597024942,0
4601027834,0
4605494206,0
4609407150,0
4609682512,0
4615199558,0
4617197429,0
4621207726,0
4621469095,0
4625433107,0
4629666406,0
4638351303,0
4638528978,0
4638683006,0
4641742688,0
4646966426,0
4649868829,0
4650016632,0
4657048187,0
4658030148,0
4665769616,0
4665985017,0
4666145858,0
4671268174,0
4674408935,0
4674559657,0
4678528331,0
4683011135,0
4686659918,0
4686786882,0
4690797170,0
4694922956,0
4698991473,0
4699081111,0
4703168771,0
4707176564,0
4711266197,0
4715314698,0
4715427179,0
4719488209,0
4723534674,0
4727636450,0
4727775922,0
4731858710,0
4735903382,0
4739842655,0
4739948885,0
4744070363,0
4748470573,0
4752344996,0
4752473674,0
4756500572,0
4760496029,0
4764637536,0
4764849155,0
4769230771,0
4773513135,0
4777185428,0
4781624278,0
4782065211,0
4785744090,0
4790121834,0
4793335697,0
4793675560,0
4797685879,0
4801841511,0
4806331250,0
4806779966,0
4809793151,0
4814304584,0
4821723145,0
4822126568,0
4822399062,0
4826952725,0
4831030291,0
4836753938,0
4837739925,0
4838437480,0
4844108399,0
4847264132,0
4847773376,0
4851471086,0
4856038011,0
4858839223,0
4859212754,0
4863182038,0
4867268677,0
4871599045,0
4872034402,0
4876007436,0
4880071938,0
4883823792,0
4884248584,0
4887718572,0
4891802479,0
4896140595,0
4899975522,0
4900392472,0
4904648926,0
4908187668,0
4912229861,0
4912519652,0
4917017196,0
4920609498,0
4925811477,0
4926255733,0
4929569313,0
4933909273,0
4936644841,0
4937116092,0
4941070651,0
4945983701,0
4950015847,0
4950527814,0
4953359441,0
4959441935,0
4961641883,0
4965509670,0
4965950018,0
4969668528,0
4976631292,0
4980123460,0
4981247419,0
4982491264,0
4986031218,0
4989993214,0
4990330640,0
4994460725,0
4999142625,0
5002658052,0
5004094012,0
5006510353,0
5010841530,0
5014652517,0
5015091976,0
5019162686,0
5022671266,0
5026642486,0
5030831774,0
5031457201,0
5034832089,0
5038990685,0
5043050847,0
5043144774,0
5047179475,0
5051262892,0
5055260528,0
5055335895,0
5059468031,0
5064163918,0
5067564669,0
5067702501,0
5071738099,0
5075892444,0
5080923194,0
5081071269,0
5084112586,0
5088074726,0
5092162549,0
5097787574,0
5098553210,0
5100588112,0
5104429428,0
5108749523,0
5108903930,0
5113584511,0
5116818545,0
5120816750,0
5120936429,0
5125057000,0
5129070961,0
5133173549,0
5133324403,0
5137252442,0
5141338664,0
5145407256,0
5145540598,0
5149557125,0
5153570991,0
5157715099,0
5161809923,0
5161957963,0
5165982663,0
5170030470,0
5174134168,0
5174264149,0
5178207308,0
5182338544,0
5186405829,0
5186524001,0
5190611177,0
5194553103,0
5198684256,0
5198805349,0
5202814914,0
5206918535,0
5210997892,0
5211164176,0
5215130296,0
5219263304,0
5223314063,0
5227470133,0
5227753746,0
5232419062,0
5236067497,0
5240950727,0
5241459047,0
5244540209,0
5248297159,0
5254079541,0
5255401764,0
5257083250,0
5260436725,0
5266583046,0
5267425683,0
5268682256,0
5273312128,0
5277389260,0
5279575617,0
5282274409,0
5285699994,0
5290341318,0
5293137945,0
5293507864,0
5297555858,0
5302527437,0
5305503798,0
5306017378,0
5310218233,0
5314342365,0
5320204846,0
5320722177,0
5322636738,0
5326069168,0
5330200825,0
5330631634,0
5334333743,0
5338437620,0
5342515487,0
5344730935,0
5347845969,0
5353671883,0
5356251228,0
5359786088,0
5360608278,0
5363103965,0
5367032328,0
5371186943,0
5371647441,0
5376248934,0
5380633806,0
5385527064,0
5386933397,0
5388626085,0
5393060003,0
5396575943,0
5398781976,0
5399740397,0
5403825286,0
5408676693,0
5413251570,0
5413842529,0
5416544758,0
5420550977,0
5424264420,0
5424741440,0
5428497166,0
5432263363,0
5436316214,0
5436592756,0
5440369827,0
5444465680,0
5448658019,0
5448824985,0
5452643155,0
5456790889,0
5460743450,0
5460888272,0
5464962478,0
5469099751,0
5473019701,0
5477143580,0
5477275530,0
5481319430,0
5485450302,0
5489670464,0
5489854242,0
5493568489,0
5497818175,0
5501809964,0
5501960017,0
5505927517,0
5509959530,0
5514176333,0
5514329717,0
5518295687,0
5522350041,0
5526338653,0
5526498349,0
5530600477,0
5534618749,0
5538775182,0
5543004339,0
5543485295,0
5547065195,0
5551156527,0
5556833753,0
5557239229,0
5559334109,0
5563483649,0
5567365847,0
5567580082,0
5572566781,0
5575640740,0
5579838731,0
5580157429,0
5583971560,0
5588038690,0
5592170314,0
5592433453,0
5599981516,0
5600295221,0
5616276203,0
5616601764,0
5616861863,0
5617159349,0
5621397154,0
5621796389,0
5622163158,0
5626326254,0
5628850756,0
5633072424,0
5633631344,0
5637933941,0
5641573660,0
5649121176,0
5649486929,0
5649786500,0
5653467751,0
5658007894,0
5658337900,0
5663510649,0
5666550093,0
5671675186,0
5678066739,0
5678442855,0
5678783200,0
5682225277,0
5686156278,0
5686423639,0
5690404023,0
5694399516,0
5698385430,0
5698687721,0
5702657078,0
5706651791,0
5710745186,0
5711056533,0
5714912917,0
5719019147,0
5723033239,0
5723299283,0
5727108221,0
5731102702,0
5735236514,0
5739485228,0
5739629747,0
5743449888,0
5747524581,0
5751649873,0
5751776345,0
5755766610,0
5759895777,0
5763926050,0
5764063546,0
5768120045,0
5772114953,0
5776174363,0
5776303909,0
5780270497,0
5784524711,0
5788433808,0
5788567389,0
5792611310,0
5796733619,0
5800947185,0
5805006881,0
5805209247,0
5809282297,0
5813274442,0
5817346354,0
5817783723,0
5822549630,0
5828411956,0
5829658854,0
5830179265,0
5834574695,0
5838290738,0
5842481526,0
5842945057,0
5846239953,0
5850285185,0
5855272496,0
5855693152,0
5861409632,0
5862548232,0
5866574063,0
5870719153,0
5871171070,0
5875007800,0
5878937907,0
5882994409,0
5883432815,0
5887333400,0
5891732236,0
5896205998,0
5896857498,0
5899972422,0
5904412769,0
5907531540,0
5909032604,0
5911824267,0
5916807508,0
5921994108,0
5924749553,0
5925342829,0
5928165413,0
5932680332,0
5937309737,0
5937868334,0
5940570613,0
5945988313,0
5948567367,0
5949107415,0
5952804589,0
5956721043,0
5960838476,0
5961371137,0
5964980427,0
5969128694,0
5972974253,0
5973365581,0
5977299250,0
5981359735,0
5985655518,0
5989500308,0
5990089153,0
5997178461,0
5999206296,0
6003338506,0
6004418315,0
6006255341,0
6010229009,0
6014213189,0
6014652933,0
6018275149,0
6022263246,0
6026713517,0
6027347007,0
6031289816,0
6034676766,0
6038833498,0
6039354326,0
6042815035,0
6047169966,0
6050708180,0
6054839287,0
6055175011,0
6058973503,0
6062997283,0
6066979942,0
6067138733,0
6071114439,0
6075166060,0
6079282916,0
6079363703,0
6083449153,0
6087466499,0
6091517146,0
6091650264,0
6095676988,0
6099746483,0
6103770319,0
6103907286,0
6107975756,0
6112058560,0
6116128250,0
6120218151,0
6120322535,0
6124372666,0
6128412011,0
6132513747,0
6132653529,0
6136651090,0
6140829890,0
6144842610,0
6145061351,0
6149016584,1
6155240444,0
6157271772,0
6157564824,0
6161758218,0
6166280552,0
6169495124,0
6169733606,0
6174004817,1
6178158079,0
6182254844,0
6186044152,0
6186326082,1
6190325940,0
6194667035,1
6199411284,2
6200708600,2
6202255017,1
6207202843,1
6210689696,2
6211073461,3
6216197896,1
6218735289,2
6224100095,1
6224419703,3
6227268343,1
6231652492,2
6235030836,4
6235289321,4
6240513933,3
6243250161,0
6247386298,1
6251398287,1
6251625475,1
6256271629,1
6259684106,1
6264167460,3
6265014294,1
6267964852,1
6273076237,2
6275965191,2
6276317952,4
6281110506,1
6284229389,3
6289098756,4
6289566825,2
6292424460,2
6296903558,3
6300579964,5
6301012658,3
6304763687,5
6308826329,5
6313374185,4
6316969662,5
6317237552,5
6321390790,6
6325598481,8
6329184696,5
6329395183,7
6333411700,7
6337305680,6
6341750975,8
6341906305,8
6345496155,7
6349548748,9
6353653381,9
6353790147,9
6357868034,10
6361869496,9
6365964619,9
6370059285,11
6374223955,11
6378261230,12
6382388955,9
6386583669,11
6390568457,22
6394627331,13
6398689192,0
6402800920,17
6406935429,11
6411073088,11
6415096684,15
6419193893,14
6419372820,7
6423417997,14
6427447744,15
6435611582,10
6439665541,17
6443862812,17
6447866688,17
6451966697,20
6456032488,15
6460155015,21
6464234517,20
6468376975,14
6472658510,20
6476534424,20
6480662810,21
6484733173,22
6488965283,22
6492951752,22
6497056264,24
6501251960,22
6505240132,24
6509453211,23
6513744397,32
6517644577,17
6521856805,27
6525784275,16
6529907090,23
6533992172,25
6538320622,24
6542504458,24
6546426004,30
6550553151,28
6557308213,41
6558631878,17
6563398872,36
6568041321,26
6570980512,24
6575843738,28
6579192635,33
6586041475,27
6587540799,29
6591437676,49
6596428661,17
6601528283,34
6604427568,24
6612352288,35
6612726424,36
6618217043,33
6621558846,33
6625952272,52
6628336326,25
6632463916,41
6638712133,33
6644049386,35
6645444702,34
6648803616,37
6655273147,39
6657048370,34
6662157909,37
6665800687,37
6670408794,35
6673403642,35
6677584247,43
6683745404,59
6685954103,26
6694069323,47
6697845539,39
6701967392,48
6706502986,43
6710210276,50
6715014933,43
6718298709,53
6722670929,46
6726510784,53
6730638155,48
6734685985,69
6738776097,30
6742910453,49
6746982404,42
6751096041,51
6755268022,47
6759277253,64
6763405823,39
6767520634,54
6771616863,48
6775796237,49
6780009706,75
6783931375,44
6788220993,60
6792439956,54
6796608451,60
6800287130,69
6804369691,51
6808726579,61
6812574250,51
6816829241,56
6820775207,50
6826409915,70
6829654125,53
6833798249,61
6837055190,67
6841229753,55
6845211797,56
6849343900,60
6853518992,57
6857526367,92
6861608388,54
6865922177,56
6869897288,70
6874011297,81
6878041017,54
