Zeit in ms, Spannung in Einheitslos
715350,0
832233,30
920174,31
1029989,30
1118454,33
1203514,37
1281632,37
1497891,37
1598368,36
1682682,37
1753086,36
1828036,34
1899248,33
1968925,34
2059903,31
2165296,30
2250772,27
2330776,28
2412953,26
2485645,24
2551714,23
2589472,27
2655842,26
2719818,27
2757809,27
2823413,26
2894043,25
2962480,27
3029865,27
3113574,28
3183776,31
3252941,31
3397627,30
3463869,31
3530094,30
3600008,33
3669835,37
3739627,37
3808741,37
3875059,36
3941634,37
4012563,36
4132163,34
4219665,33
4298888,34
4383620,31
4460396,30
4544442,27
4623405,28
4694033,26
4769386,24
4854041,23
4927571,27
4996061,26
5098362,27
5185961,27
5266508,26
5388902,25
5465259,27
5542804,27
5627763,28
5708619,31
5791963,31
1691459937,35
1691980493,33
1692461729,32
1692829643,28
1693274522,33
1693678264,31
1695450422,33
1695970379,33
1696531765,32
1696928454,33
1697550491,33
1697994120,32
1698463854,30
1698979233,33
1699457018,31
1699916236,29
1700834978,30
1701351040,28
1701843289,26
1702230646,26
1702692855,26
1703305349,26
1703813332,25
1704332561,26
1704768898,24
1705244378,22
1705686098,21
1706235300,21
1706640857,20
1706938943,19
1707400611,22
1707865901,22
1708346952,29
1708769939,40
1709283902,48
1709683292,57
1710097599,58
1710492927,57
1710860077,57
1711395474,55
1711768043,56
1712195364,54
1712612171,52
1713137286,51
1713594434,49
1713977907,47
1714641860,44
1715152048,44
1718840742,41
1719573301,39
1720153807,39
1720716520,40
1721299252,39
1721797866,37
1722323492,35
1722764255,34
1723279186,33
1723901859,30
1724373118,30
1724824039,28
1725325971,27
1725791570,27
1726399031,26
1727000892,24
1727539057,23
1728170880,21
1728684415,24
1729173859,23
1729663688,24
1730177092,21
1730650429,25
1731152262,29
1731508907,38
1731940846,42
1732413120,43
1732850896,40
1733312358,40
1733676403,38
1734017573,37
1734646173,33
1735143933,34
1735722052,38
1736470845,55
1737014522,73
1737543088,76
1738154401,75
1738702745,75
1739256625,71
1739769944,65
1740369837,53
1740759524,38
1741178028,31
1741553609,28
1741942112,25
1742418944,25
1742910401,25
1743344886,26
1743713551,24
1744204079,22
1744610106,21
1744990050,20
1745487132,20
1746024429,21
1746565517,19
1747092944,17
1747529293,21
1747989341,34
1748552743,42
1749023645,41
1749568652,40
1749983256,42
1750431307,43
1750840680,41
1751303475,44
1751682713,43
1752242187,43
1752650785,41
1753021380,39
1753523631,38
1753948558,37
1754453098,38
1754854840,33
1755355742,31
1755900619,28
1756470797,29
1756860030,31
1757301801,32
1757811116,32
1758372419,32
1758814109,31
1759358766,35
1759746081,38
1760183202,39
1760674183,35
1761045989,37
1761515191,34
1761928158,33
1762586176,35
1763146913,33
1763680799,31
1764131505,33
1764657938,37
1765106181,40
1765676530,40
1766239133,41
1767665923,38
1768240339,38
1768834661,37
1769358385,39
1769839150,39
1770404311,37
1770831654,38
1771120153,36
1771378062,35
1771625876,32
1771824021,35
1772045578,37
1772264603,36
1772478829,38
1772778182,38
1773006033,38
1773286681,36
1773537880,37
1773752242,35
1773984384,38
1774266178,36
1774519188,35
1774773105,38
1775020950,39
1775311956,43
1775519705,47
1775730322,49
1775986650,49
1776235833,51
1776422925,49
1776671622,49
1776982143,47
1777355122,44
1777849098,44
1778203969,41
1778444653,37
1778673053,41
1778849552,43
1779029091,42
1779243433,43
1779440939,42
1779611819,43
1779785743,40
1779896948,41
1780026366,38
1780605312,37
1780903795,35
1781350532,35
1781742775,33
1781916496,30
1782101947,29
1782244656,32
1782378708,32
1782494887,32
1782646117,31
1782797006,31
1782958008,29
1783138055,29
1783301707,29
1783459276,28
1783618464,27
1783776757,27
1783933808,27
1784106301,30
1784271595,32
1784430385,32
1784591605,34
1784751466,32
1784971410,36
1785147467,37
1785287412,40
1785425443,38
1785561990,40
1785688157,39
1785814780,38
1785945377,40
1786088108,37
1786248316,35
1786405105,33
1786535373,33
1786693265,30
1786834539,28
1786958502,28
1787138529,32
1787286668,32
1787436003,30
1787591661,30
1787773250,29
1787948864,30
1788119809,32
1788256097,34
1788410689,33
1788565019,33
1788719771,35
1788860131,35
1788974058,35
1789135595,35
1789247113,32
1789359507,29
1789476666,31
1789592969,35
1789714773,39
1789833482,37
1789956931,36
1790090824,36
1790211412,37
1790331128,36
1790735624,37
1790860987,35
1790987696,36
1791150999,33
1791249558,30
1791339856,29
1791439697,30
1791542957,31
1791663403,37
1791775320,38
1791893147,46
1792008756,51
1792147316,51
1792241020,50
1792336287,49
1792429394,46
1792520913,45
1792613347,44
1792700628,43
1792791823,39
1792888487,36
1792995316,43
1793161215,44
1793279482,42
1793384713,43
1793481064,43
1793577560,42
1793696721,41
1793786600,40
1793872865,39
1793958847,37
1794064024,36
1794171511,34
1794400976,31
1794521628,34
1794636179,34
1794758075,33
1794856729,34
1794939257,33
1795019484,34
1795117002,33
1795197671,30
1795278120,31
1795359114,30
1795440098,30
1795524672,27
1795617526,26
1795698150,27
1795778293,25
1795857756,23
1795937235,22
1796016422,19
1796170713,21
1796281822,21
1796392309,22
1797389307,27
1797499393,33
1797598463,38
1797689932,38
1797791378,35
1797873220,39
1797947207,40
1798020316,39
1798105485,37
1798192104,37
1798264906,37
1798334038,36
1801551699,33
1801666540,31
1801763707,35
1801848623,36
1801946336,37
1802063191,37
1802209082,35
1802280316,35
