Zeit in ms, Spannung in Einheitslos
1496682,0
1566900,0
1649769,0
1736407,0
1820394,0
1903453,0
1981349,0
2054904,0
2137812,0
2217283,0
2293630,0
2373058,0
2454673,0
2535861,0
2617980,0
2699844,0
2794757,0
2871949,0
2967011,0
3046049,0
3129149,0
3211029,0
3296104,0
3376031,0
3461842,0
3541081,0
3623110,0
3708303,0
3814915,0
3890118,0
3971158,0
4041576,0
4118267,0
1694069469,0
1697900019,0
1702864745,0
1703353560,0
1706308775,0
1710190302,0
1714252034,0
1714809621,0
1719479477,0
1722774566,0
1726411628,0
1726835312,0
1730804811,0
1734849881,0
1739029978,0
1743430015,0
1743916457,0
1747408442,0
1752168140,0
1756502613,0
1757362957,0
1762670452,0
1768081121,0
1772021324,0
1772584284,0
1773047317,0
1778396688,0
1780822820,0
1781261511,0
1784045781,0
1791135627,0
1791877465,0
1792109457,0
1796073354,0
1800371193,0
1804219233,0
1810906158,0
1811790645,0
1812605304,0
1820096485,0
1820438511,0
1820669680,0
1826066254,0
1828855469,0
1832872254,0
1833111593,0
1837050938,0
1841091747,0
1846238581,0
1848888034,0
1849278849,0
1853754121,0
1857412373,0
1857658982,0
1862497272,0
1865584626,0
1871691454,0
1873760008,0
1873911500,0
1878572706,0
1882067541,0
1886022588,0
1886173538,0
1890446759,0
1894150170,0
1898240903,0
1898400844,0
1902375259,0
1906444944,0
1910510706,0
1910628385,0
1914698825,0
1918690094,0
1922811593,0
1926915641,0
1927038864,0
1931030996,0
1935087312,0
1939205880,0
1939306006,0
1943332952,0
1947415614,0
1951500392,0
1951629570,0
1955704552,0
1959764011,0
1963862149,0
1963979546,0
1967929009,0
1972135667,0
1976350485,0
1976489286,0
1980194843,0
1984256672,0
1988350340,0
1992858577,1
1992970621,0
1996985114,0
2000671524,0
2004743201,0
2004861117,0
2009585615,0
2013307416,0
2017008996,0
2017116306,0
2021128452,0
2025299070,0
2029299115,0
2029449950,0
2033453375,0
2037521704,0
2044471815,0
2044589855,0
2045739366,0
2049877788,0
2053842493,0
2057965831,0
2058105830,0
2062135968,0
2066203038,0
2070244481,0
2070368466,0
2074404427,0
2078494302,0
2082534184,0
2082643899,0
2086667217,0
2090811627,0
2095930588,0
2096120843,0
2098941564,0
2103021574,0
2107095970,0
2107211242,0
2111281862,0
2115342405,0
2119411542,0
2123512619,0
2123621158,0
2127748568,0
2131698390,0
2135772991,0
2135896105,0
2139961059,0
2144002951,0
2148093025,0
2148224049,0
2152191746,0
2156276097,0
2160327796,0
2160431081,0
2164740270,0
2168560747,0
2172649941,0
2172780449,0
2176831981,0
2180894560,0
2184957147,0
2189035849,0
2189175143,0
2193207052,0
2197307949,0
2201338656,0
2201452392,0
2205464728,0
2209652096,0
2214033021,0
2214240080,0
2217792434,0
2221826239,0
2227346219,0
2227460779,0
2230192053,0
2234109002,0
2238193719,0
2238294451,0
2242334475,0
2246414621,0
2250531838,0
2254555728,0
2254666205,0
2259779964,0
2262890202,0
2266825418,0
2266907966,0
2270982923,0
2276485037,0
2279218212,0
2279345230,0
2283280081,0
2287346451,0
2292843267,0
2292991084,0
2295684948,0
2299699406,0
2303688034,0
2303810263,0
2309490037,0
2312491168,0
2316025597,0
2320076152,0
2320213584,0
2324501312,0
2328308312,0
2332593573,0
2332801591,0
2336490781,0
2340602320,0
2344668469,0
2344798689,0
2348855773,0
2352932076,0
2357274839,0
2357454259,0
2361137333,0
2365183511,0
2369192100,0
2369304983,0
2373393338,0
2377497665,0
2381644310,0
2385645538,0
2385776378,0
2389769576,0
2393847514,0
2398509664,0
2398669069,0
2402038422,0
2406120590,0
2410291846,0
2410431666,0
2414637259,0
2418424324,0
2422493281,0
2422608874,0
2426751646,0
2430745006,0
2434776597,0
2438886580,0
2439005697,0
2443005891,0
2447959607,0
2451140553,0
2451247607,0
2455279835,0
2459671077,0
2463448603,0
2463592022,0
2467561589,0
2471671218,0
2476792885,0
2476937644,0
2480426221,0
2483929983,0
2487998746,0
2488111456,0
2492145135,0
2497287487,0
2500301726,0
2504442758,0
2504586530,0
2511025656,0
2512744698,0
2516679207,0
2516832802,0
2520838814,0
2526237386,0
2529703954,0
2529869543,0
2533139547,0
2537241146,0
2541294600,0
2541414695,0
2545601380,0
2549896672,0
2553548712,0
2553707020,0
2557895477,0
2561881635,0
2565891553,0
2569915522,0
2570034979,0
2574099702,0
2578435263,0
2582202842,0
2582305250,0
2586383672,0
2590482479,0
2594504488,0
2594605628,0
2598936812,0
2602778149,0
2606747303,0
2606855568,0
2611095206,0
2615098626,0
2619176750,0
2619302837,0
2623259704,0
2627268134,0
2631442195,0
2635492066,0
2635596936,0
2639557766,0
2643897467,0
2647924819,0
2648061399,0
2651960843,0
2656105615,0
2660152940,0
2660358673,0
2664394404,0
2668448394,0
2672466410,0
2672836816,0
2677405314,0
2682714732,0
2684947973,0
2685402860,0
2689315268,0
2693194145,0
2699460230,0
2701298255,0
2701900617,0
2706592239,0
2710566812,0
2714136423,0
2715817685,0
2717924247,0
2721884752,0
2726069174,0
2726477076,0
2731156109,0
2734855647,0
2738225075,0
2738690173,0
2746333733,0
2747688248,0
2750534813,0
2751059397,0
2754897110,0
2758800294,0
2763454170,0
2767005379,0
2767560064,0
2772169076,0
2775604970,0
2779312912,0
2780994242,0
2783686854,0
2787498112,0
2791448201,0
2792036758,0
2798322749,0
2804834598,0
2805499347,0
2806032684,0
2811839094,0
2812484599,0
2816154553,0
2816545341,0
2820899705,0
2824659430,0
2828519545,0
2832875117,0
2833347591,0
2837989807,0
2841336308,0
2847831871,0
2848469759,0
2849562711,0
2853324326,0
2857681751,0
2858221713,0
2861218168,0
2865858284,0
2870061380,0
2870528081,0
2876951454,0
2878836223,0
2883111039,0
2885464238,0
2887143553,0
2889921323,0
2894766868,0
2898074077,0
2898332957,0
2902428962,0
2906027081,0
2909971383,0
2910166999,0
2914129890,0
2918112067,0
2922234044,0
2922352461,0
2926317605,0
2930612079,0
2934501896,0
2934624221,0
2938614846,0
2942745413,0
2946943756,0
2950882654,0
2950989112,0
2955374331,0
2959546774,0
2963618651,0
2966925104,0
2968251858,0
2971716554,0
2976242276,0
2976686621,0
2981102360,0
2984418664,0
2990381561,0
2991028279,0
2993967586,0
2996660967,0
3000298297,0
3000853265,0
3004601389,0
3008615409,0
3014551493,0
3017229475,0
3017801410,0
3021048058,0
3025387363,0
3029069101,0
3029537128,0
3033848367,0
3037268730,0
3043319679,0
3043809312,0
3047420713,0
3050197627,0
3053662257,0
3054260376,0
3062619362,0
3063157563,0
3067409504,0
3067945113,0
3070275499,0
3074288824,0
3078228555,0
3082219041,0
3082704836,0
3089414398,0
3091821995,0
3094600068,0
3095255217,0
3099484585,0
3104232672,0
3112946825,0
3113387284,0
3113714347,0
3117166608,0
3120158356,0
3121860285,0
3129679506,0
3130487943,0
3131313190,0
3132561919,0
3136990400,0
3141243994,0
3144815744,0
3148820308,0
3149423374,0
3152103712,0
3157002833,0
3161052222,0
3161770286,0
3164293229,0
3168023563,0
3172176994,0
3172470052,0
3177957538,0
3180283125,0
3184401893,0
3184571247,0
3188449633,0
3192523183,0
3196715587,0
3196857270,0
3200945772,0
3204862398,0
3208962792,0
3212959427,0
3213073125,0
3217250843,0
3221396022,0
3225292903,0
3225424346,0
3229507853,0
3233557768,0
3237817603,0
3237929138,0
3241755355,0
3245875844,0
3249859493,0
3250015844,0
3254005198,0
3258412411,0
3262209487,0
3262396919,0
3266495730,0
3270554874,0
3274941170,0
3279251650,0
3280020185,0
3283301526,0
3287178242,0
3291869672,0
3292363606,0
3295458415,0
3300473038,0
3305478813,0
3307666219,0
3311327798,0
3312974060,0
3315594483,0
3316008289,0
3321870247,0
3325131598,0
3330498695,0
3334139229,0
3335207189,0
3337229511,0
3341471077,0
3345605310,0
3346256622,0
3348895708,0
3352708615,0
3356685023,0
3357198021,0
3361015012,0
3366085315,0
3369041583,0
3369500316,0
3373979931,0
3378439569,0
3381186815,0
3381581455,0
3387959514,0
3389835849,0
3393622381,0
3394334033,0
3399478706,0
3404824963,0
3405830401,0
3410646552,0
3411135121,0
3414126196,0
3418347883,0
3422527529,0
3423130179,0
3429561912,0
3430438605,0
3435026987,0
3435668575,0
3439078265,0
3443126544,0
3446831962,0
3447470228,0
3451225226,0
3458389360,0
3459092418,0
3459586285,0
3463527563,0
3467665904,0
3472980989,0
3476263765,0
3476835254,0
3479666271,0
3483781159,0
3487835359,0
3488343155,0
3492634393,0
3496391425,0
3500410948,0
3501171476,0
3504790135,0
3509613664,0
3512228929,0
3512657421,0
3516658604,0
3520671508,0
3525236373,0
3528700742,0
3529185052,0
3532887405,0
3537061229,0
3542811514,0
3543436924,0
3545616262,0
3550888346,0
3553403725,0
3553954176,0
3558587858,0
3561454690,0
3565627038,0
3566096869,0
3570274719,0
3573841013,0
3577947187,0
3578399873,0
3582091581,0
3585913171,0
3589918467,0
3594204530,0
3594408346,0
3598104107,0
3602875703,0
3606303721,0
3606465933,0
3610305920,0
3614421960,0
3618493471,0
3618615311,0
3622695825,0
3626673889,0
3630833864,0
3630955475,0
3634853162,0
3638941398,0
3643055571,0
3643203672,0
3647188722,0
3651266800,0
3655368621,0
3659407169,0
3659537788,0
3663605974,0
3667765696,0
3671681927,0
3671820481,0
3675853814,0
3680020182,0
3684003213,0
3684138846,0
3688073541,0
3692303428,0
3696299098,0
3696489960,0
3700566468,0
3704766537,0
3708835126,0
3709113589,0
3712938920,0
3717083430,0
3721511215,0
3728270986,0
3729161864,0
3729678034,0
3734356029,0
3738668175,0
3739317914,0
3741899040,0
3745926054,0
3749889427,0
3750496651,0
3754215061,0
3758960416,0
3763544059,0
3764179750,0
3766857716,0
3772273855,0
3776090956,0
3777685778,0
3779645220,0
3782853337,0
3786847421,0
3790892705,0
3791357120,0
3797377209,0
3799681016,0
3803188734,0
3803603487,0
3808249838,0
3811975770,0
3815280304,0
3815788100,0
3821171721,0
3823838590,0
3829281403,0
3829988211,0
3834413162,0
3836136499,0
3840069199,0
3840633555,0
3844329765,0
3849088829,0
3852843298,0
3857153528,0
3857611620,0
3861500911,0
3866389404,0
3869904960,0
3872061110,0
3873941896,0
3880971449,0
3882070597,0
3884765883,0
3885977125,0
3889220064,0
3893876347,0
3896166994,0
3897507598,0
3904834472,0
3905530783,0
3908922953,0
3909830132,0
3914859943,0
3917705560,0
3921654517,0
3921909832,0
3925813272,0
3929948217,0
3933840178,0
3933960783,0
3938227786,0
3942089962,0
3946123804,0
3946238079,0
3950336788,0
3954422018,0
3958380361,0
3958491890,0
3962628582,0
3966828278,0
3970695494,0
3970812092,0
3974817460,0
3978976249,0
3983001080,0
3987113431,0
3987280444,0
3991220034,0
3995289283,0
3999401795,0
3999524275,0
4003552894,0
4007650350,0
4011765339,0
4011981131,0
4016028503,0
4020144960,0
4024314945,0
4024651953,0
4028337545,0
4033169249,0
4036559651,0
4040476586,0
4040827184,0
4044813703,0
4048708725,0
4052828775,0
4053069139,0
4058084243,0
4061307040,0
4065203459,0
4065446227,0
4069198687,0
4074268316,0
4077367203,0
4078330037,0
4081522307,0
4085623550,0
4089794065,0
4090109609,0
4094451876,0
4100226775,0
4101915850,0
4106028405,0
4106341595,0
4111065024,0
4120827900,0
4121178354,0
4121407913,0
4123105422,0
4128328982,0
4130575861,0
4131812403,0
4135082479,0
4141276409,0
4142868311,0
4143169510,0
4147175187,0
4151097357,0
4155121998,0
4155358515,0
4159327814,0
4163356206,0
4167422115,0
4171491802,0
4171788205,0
4175712266,0
4179829164,0
4183824506,0
4184151861,0
4188877039,0
4192102732,0
4196330242,0
4196675988,0
4200330809,0
4204511135,0
4208470086,0
4208853002,0
4212577481,0
4216700510,0
4220953933,0
4221201625,0
4225154870,0
4229360805,0
4233066006,0
4238001899,0
4238368300,0
4241292912,0
4245511900,0
4249354332,0
4249614817,0
4253609259,0
4257611954,0
4261659925,0
4262025369,0
4265876696,0
4269982925,0
4273905277,0
4274176591,0
4278166393,0
4282116861,0
4286193658,0
4286454062,0
4290460144,0
4294605447,0
4298643121,0
4302620533,0
4302954107,0
4306979269,0
4310947749,0
4314926358,0
4315231133,0
4319091505,0
4323616597,0
4329113437,0
4329469147,0
4331498040,0
4336179564,0
4339436309,0
4340103005,0
4344496908,0
4347779615,0
4352008411,0
4352782169,0
4356006245,0
4361525692,0
4364149872,0
4368082125,0
4368389026,0
4372527347,0
4376935437,0
4380444350,0
4380810765,0
4385431700,0
4388661916,0
4393666083,0
4393971355,0
4397022898,0
4401028423,0
4405062240,0
4405705584,0
4409201846,0
4415119752,0
4418224601,0
4418546255,0
4421461990,0
