Zeit,Voltage
0,5.52
1,13.78
2,20.39
3,24.33
4,25.33
5,26.38
6,27.05
7,27.72
8,29.89
9,31.91
10,31.43
11,33.82
12,35.1
13,37.19
14,41.71
15,43.69
16,44.01
17,45.26
18,46.74
19,44.79
20,43.84
21,45.66
22,43.81
23,46.87
24,48.95
25,52.54
26,51.61
27,53.2
28,55.2
29,54.95
30,52.62
31,51.47
32,50.78
33,52.34
34,53.78
35,55.34
36,59.9
37,67.93
38,67.63
39,68.08
40,69.54
41,70.22
42,71.19
43,67.35
44,68.96
45,69.94
46,71.5
47,68.77
48,68.08
49,67.64
50,67.35
51,68.73
52,66.82
53,69.46
54,67.73
55,66.78
56,65.8
57,68.62
58,67.59
59,69.43
60,66.86
61,67.15
62,67.86
63,65.89
64,69.66
65,70.44
66,67.3
67,68.04
68,67.3
69,67.78
70,69.07
71,67.88
72,68.87
73,69.54
74,68.35
75,68.94
76,70.67
77,65.04
78,67.2
79,68.07
80,69.62
81,66.87
82,67.62
83,66.29
84,66.36
85,68.52
86,66.53
87,66.94
88,66.74
89,68.83
90,65.91
91,66.48
92,67.26
93,66.96
94,66.76
95,66.67
96,67.81
97,65.47
98,65.68
99,66.65
100,66.59
101,69.7
102,67.42
103,65.53
104,68.49
105,65.79
106,67.14
107,66.43
108,66.15
109,67.46
110,65.09
111,66.99
112,65.78
113,67.75
114,66.31
115,67.87
116,67.34
117,65.6
118,66.73
119,69.37
120,64.37
121,65.87
122,70.11
123,69.62
124,68.46
125,66.69
126,71.06
127,55.85
128,23.54
