Zeit in ms, Spannung in Einheitslos
1393893,0
1469107,0
1557375,0
1643761,0
1736861,0
1826769,0
1923872,0
2023333,0
2106605,0
2192184,0
2281309,0
2369908,0
2451700,0
2533640,0
2615306,0
2697703,0
2778738,0
2868266,0
2956211,0
3053751,0
3141953,0
3205118,0
3291258,0
3374187,0
3460388,0
3545196,0
3628007,0
3713424,0
3800779,0
3884745,0
3965427,0
4062550,0
4157967,0
4243771,0
4328999,0
4413962,0
4501396,0
4586315,0
4670430,0
4755956,0
4845210,0
4935394,0
5030500,0
5106678,0
5182922,0
5252360,0
5325938,0
5395885,0
5472427,0
5556796,0
5631083,0
5708544,0
5795294,0
5884290,0
5971370,0
6077022,0
6155937,0
6248459,0
6338609,0
6419712,0
6502237,0
6586766,0
6667664,0
6748336,0
1694290803,0
1698330689,0
1698498700,0
1702487644,0
1706516127,0
1710565164,0
1710660068,0
1714736639,0
1718829773,0
1722870513,0
1722987060,0
1727051836,0
1731118301,0
1735155594,0
1735275254,0
1739339143,0
1743348788,0
1747448366,0
1747555630,0
1751637179,0
1755705468,0
1759789601,0
1763860910,0
1763962876,0
1768035825,0
1772096117,0
1776178823,0
1776283933,0
1780289987,0
1784339391,0
1788440609,0
1788554181,0
1792586309,0
1796640152,0
1800771578,0
1800885690,0
1804876600,0
1808910414,0
1813036953,0
1813151136,0
1817139384,0
1821223504,0
1825322303,0
1829367595,0
1829481945,0
1833612880,0
1837609070,0
1841667703,0
1841781700,0
1845811332,0
1849925775,0
1853970119,0
1854158953,0
1858100230,0
1862279460,0
1866241234,0
1866357587,0
1870426949,0
1874500659,0
1878583441,0
1882621386,0
1882728022,0
1886793591,0
1890804631,0
1894957251,0
1895083417,0
1899181961,0
1903191279,0
1907322724,0
1907429108,0
1911315208,0
1915476278,0
1919509511,0
1919635291,0
1923627188,0
1927693146,0
1932198062,0
1932313327,0
1935939425,0
1940032234,0
1944052188,0
1948165198,0
1948276470,0
1952344501,0
1956360894,0
1960429181,0
1960536613,0
1964675350,0
1968663249,0
1972713417,0
1972829685,0
1976893039,0
1980959598,0
1985065423,0
1985179479,0
1989243523,0
1993226753,0
1997282634,0
1997376858,0
2001699321,0
2005527988,0
2009623936,0
2013705415,0
2013813705,0
2017862169,0
2021920365,0
2025986913,0
2026111276,0
2030130900,0
2034388574,0
2038283337,0
2038384251,0
2042389656,0
2046509640,0
2050940835,0
2051090810,0
2055170846,0
2058788172,0
2062878176,0
2062975265,0
2067299528,0
2071066062,0
2075170677,0
2079359606,0
2079486091,0
2083349992,0
2087511118,0
2091591494,0
2091698933,0
2095752078,0
2099763932,0
2103785054,0
2103904469,0
2107923524,0
2112055128,0
2116384344,0
2116584461,0
2120263508,0
2124296906,0
2128354406,0
2128461218,0
2132511161,0
2136602128,0
2140663524,0
