Zeit,Voltage
5,172.6
6,170.77
7,169.64
8,171.03
9,170.3
10,168.81
11,165.3
12,153.41
13,152.17
14,152.55
15,147.97
16,146.98
17,153.34
18,150.67
19,148.3
20,147.21
21,147.85
22,148.1
23,148.22
24,148.4
25,147.45
26,145.36
27,141.56
28,143.34
29,142.2
30,142.97
31,142.32
32,139.78
33,138.84
34,138.4
35,138.56
36,137.36
37,137.92
38,136.01
39,135.72
40,135.49
41,133.77
42,136.31
43,137.03
44,136.82
45,136.38
46,132.26
47,131.33
48,129.83
49,131.37
50,131.44
51,134.0
52,135.73
53,135.41
54,136.51
55,134.81
56,134.39
57,136.56
