Zeit in ms, Spannung in Einheitslos
1712989,00
1814544,0
1925767,0
1999197,0
2075583,0
2162643,0
2295412,0
2384504,0
2466091,0
2548688,0
2635127,0
2718155,0
2802711,0
2901594,0
2986556,0
3071491,0
3155085,0
3240473,0
3327254,0
3410667,0
3494888,0
3576492,0
3663318,0
3746899,0
3832646,0
3931157,0
4021010,0
4104408,0
4189616,0
4272298,0
4357045,0
4440117,0
4540501,0
4632030,0
4719302,0
4807157,0
4901580,0
4972946,0
5048540,0
5127220,0
5209097,0
5281248,0
5361811,0
5456633,0
5546219,0
5640224,0
5731537,0
5827744,0
5961300,0
6036402,0
6131409,0
6235322,0
6315819,0
6387221,0
6457953,0
6528223,0
6598381,0
6669018,0
6739532,0
6809635,0
6898389,0
6971870,0
7046592,0
7118328,0
7197721,0
7293660,0
7382781,0
7471037,0
7563966,0
7652319,0
7742082,0
7831457,0
7945158,0
8040266,0
8149804,0
8238577,0
8335762,0
8425299,0
8513241,0
8601118,0
8692031,0
8779103,0
8886187,0
8981135,0
9070577,0
9151930,0
9231445,0
9310720,0
9389906,0
9470115,0
9586341,0
9675838,0
9765148,0
9847056,0
9947548,0
10026073,0
10097396,0
10173667,0
10255112,0
10345744,0
10446034,0
10549572,0
10644693,0
10742935,0
10838650,0
10944466,0
11025763,0
11106798,0
11196946,0
11285002,0
11380227,0
11474838,0
11573211,0
11669104,0
11763885,0
11870341,0
11971861,0
12064205,0
12155049,0
12249998,0
12347382,0
12440404,0
12535818,0
12630187,0
12725920,0
12819241,0
12923023,0
13022639,0
13113817,0
13211436,0
13307458,0
13401897,0
1693338818,0
1697405750,0
1701307743,0
1705190290,0
1705663299,0
1709505014,0
1713455268,0
1717605179,0
1718228412,0
1721755412,0
1727179561,0
1731491187,0
1732088675,0
1735944106,0
1741479980,0
1742236766,0
1742644467,0
1746475256,0
1750688354,0
1754529982,0
1758472453,0
1759020485,0
1762730807,0
1766718561,0
1771003123,0
1771822663,0
1774914619,0
1779045933,0
1783556044,0
1784119081,0
1788449791,0
