Zeit,Voltage
0,14.65
1,32.7
2,40.11
3,43.06
4,45.23
5,45.03
6,45.13
7,44.19
8,45.0
9,45.08
10,46.18
11,45.73
12,45.81
13,45.69
14,46.62
15,45.46
16,44.71
17,45.69
18,44.33
19,45.59
20,47.18
21,46.79
22,46.15
23,45.58
24,44.78
25,45.65
26,45.03
27,44.77
28,44.37
29,45.7
30,45.04
31,44.63
32,45.38
33,46.2
34,46.41
35,46.23
36,45.51
37,45.66
38,45.31
39,44.91
40,45.36
41,44.36
42,44.03
43,46.0
44,44.96
45,45.47
46,46.64
47,45.11
48,44.78
49,48.73
50,52.45
51,50.93
52,49.25
53,47.17
54,45.1
55,44.85
56,47.05
57,45.73
58,46.03
59,48.44
60,47.23
61,48.09
62,48.56
63,49.08
64,50.74
65,47.67
66,49.54
67,52.28
68,52.44
69,51.56
70,50.39
71,52.3
72,52.01
73,51.22
74,48.41
75,46.7
76,45.94
77,47.62
78,47.35
79,47.86
80,51.22
81,49.18
82,46.76
83,49.04
84,47.95
85,47.9
86,50.33
87,51.59
88,52.94
89,53.56
90,54.05
91,55.17
92,51.96
93,54.11
94,53.93
95,54.65
96,51.37
97,53.95
98,55.05
99,52.66
100,52.11
101,52.84
102,55.1
103,56.41
104,55.66
105,54.84
106,54.53
107,56.47
108,54.13
109,52.83
110,53.77
111,54.23
112,54.2
113,54.94
114,51.78
115,52.68
116,53.41
117,56.95
118,59.24
119,59.18
120,60.74
121,60.64
122,59.54
123,61.25
124,60.57
125,61.04
126,62.54
127,61.76
128,62.3
129,61.21
130,60.4
131,61.41
132,61.72
133,60.26
134,65.48
135,66.5
136,60.12
137,32.5
