Zeit in ms, Spannung in Einheitslos
1368070,0
1462851,0
1547317,0
1644530,0
1729177,0
1803105,0
1897332,0
1969025,0
2049280,0
2121987,0
2200607,0
2281107,0
2366166,0
2445097,0
2541460,0
2621461,0
2701681,0
2782602,0
2875065,0
2960379,0
3070676,0
3155049,0
3239272,0
3319218,0
3400923,0
3483275,0
3565091,0
3647296,0
3726940,0
3808721,0
3896330,0
3978473,0
4070238,0
4151917,0
4238343,0
4318228,0
4397862,0
4504018,0
4698646,0
4779413,0
4869421,0
4944680,0
5013068,0
5080582,0
5146636,0
5219642,0
5284393,0
5368206,0
5441341,0
5520716,0
5610324,0
5690415,0
5775623,0
5855308,0
5950271,0
6022498,0
6101210,0
6165752,0
6240461,0
6305187,0
6369155,0
6433681,0
6497755,0
6561594,0
6631532,0
6699740,0
6764233,0
6829042,0
6958257,0
7033656,0
7121615,0
7204481,0
7266601,0
7330272,0
7404278,0
7468074,0
7535578,0
7599229,0
7667337,0
7842614,0
7933123,0
8006060,0
8076098,0
8140718,0
8212294,0
8280725,0
8349202,0
8425264,0
8517540,0
8589425,0
8658391,0
8730520,0
8807738,0
8890275,0
8956089,0
9029466,0
9099596,0
9168885,0
9237695,0
9303551,0
9371885,0
9437600,0
9499525,0
9564637,0
9628145,0
9692077,0
9759330,0
9830837,0
9921669,0
9994470,0
10070809,0
10147540,0
10223402,0
10304619,0
10375751,0
10448517,0
10520814,0
10592829,0
10665064,0
10735287,0
1695204242,0
1699371323,0
1699827221,0
1703261235,0
1707315126,0
1711216308,0
1711684056,0
1715477015,0
1719488417,0
1723589424,0
1727548646,0
1728082341,0
1731935684,0
1735945853,0
1739956288,0
1740423738,0
1744251075,0
1749652308,0
1753049960,0
1753560095,0
1757091054,0
1760732225,0
1765350346,0
1765835867,0
1768580038,0
1772814453,0
1776775783,0
1777358933,0
1781026912,0
1785089934,0
1791400719,0
1793545427,0
1794690823,0
1798450714,0
1801555156,0
1810766677,0
1811468058,0
1811965437,0
1813486944,0
1817645691,0
1818135763,0
1821927065,0
1827434877,0
1830180340,0
1830689708,0
1835712040,0
1838833053,0
1842277469,0
1842811604,0
1846546457,0
1850555202,0
1855010958,0
1859549692,0
1862526030,0
1863178346,0
1869845134,0
1871918059,0
1872370235,0
1875661017,0
1879282422,0
1883161817,0
1883522678,0
1888750365,0
1891960293,0
1895818886,0
1896557815,0
1899794790,0
1904038605,0
1909386174,0
1909954715,0
1912506735,0
1916756053,0
1920282334,0
1925421142,0
1926116290,0
1928572595,0
1933549683,0
1936597316,0
1937202946,0
1940792319,0
1944785574,0
1948725081,0
1949214346,0
1954345126,0
1957081160,0
1963200829,0
1964438647,0
1966490122,0
1970323704,0
1973280930,0
1973669889,0
1977779914,0
1981743395,0
1986295672,0
1989530872,0
1989749112,0
1993573503,0
1997740791,0
2001678271,0
2001841514,0
2005884348,0
2010017388,0
2014069541,0
2014224787,0
2018053748,0
2022160577,0
2026328257,0
2026460401,0
2030447296,0
2034450176,0
2038550919,0
2038690757,0
2042678414,0
2046877948,0
2050912135,0
2054932196,0
2055057059,0
2059016453,0
2063170837,0
2067234382,0
2067367990,0
2071421870,0
2075438575,0
2079503841,0
2079670420,0
2083741004,0
2087792582,0
2092094173,0
2092449319,0
2096135033,0
2100141107,0
2104479853,0
2105095653,0
2111246861,0
2112813463,0
2120190219,0
2121852375,0
2123740207,0
2124953430,0
2130315533,0
2133835830,0
2134427835,0
2137408156,0
2143472116,0
2147132291,0
2147785094,0
2151440162,0
2154411700,0
2157595081,0
2158074276,0
2161993683,0
2167255892,0
2170566825,0
2174343408,0
2174979925,0
2180185525,0
2184199389,0
2186494470,0
2187301419,0
2191085206,0
2194538744,0
2198783945,0
2199487837,0
2202991348,0
2207311228,0
2211524292,0
2212359072,0
2219158419,0
2221501390,0
2223611499,0
2224346485,0
2227461078,0
2231510799,0
2235447857,0
2240231798,0
2240918822,0
2244732390,0
2251562908,0
2252568917,0
2255179652,0
2256932180,0
2260149781,0
2264179469,0
2264704818,0
2268426107,0
2276806952,0
2282667744,0
2283183940,0
2283537765,0
2290290537,0
2290744101,0
2291226147,0
2294243588,0
2297690294,0
2304260347,0
2305499851,0
2306975464,0
2311570103,0
2314001304,0
2317573715,0
2317790583,0
2321391740,0
2325368832,0
2329411974,0
2329589541,0
2333483765,0
2337597737,0
2341810046,0
2341975481,0
2345823058,0
2349956343,0
2354157617,0
2354356768,0
2358052955,0
2362322283,0
2366258974,0
2370453971,0
2370558506,0
2374604953,0
2378546687,0
2382619098,0
2382793802,0
2386840590,0
2390931310,0
2394904070,0
2395101203,0
2399095679,0
2403130636,0
2407159166,0
2407282749,0
2411381303,0
2415397124,0
2419464839,0
2419622630,0
2423630024,0
2427696597,0
2431899715,0
2435909527,0
2436054159,0
2440033337,0
2444076612,0
2448176918,0
2448330123,0
2452329223,0
2456395094,0
2460446034,0
2460598890,0
2464572647,0
2468640557,0
2472733094,0
2472904108,0
2476882567,0
2481037873,0
2485382240,0
2485618578,0
2489259566,0
2493318627,0
2497406317,0
2501899071,0
2502140290,0
2505676382,0
2509704291,0
2513740452,0
2514005511,0
2518016358,0
2522097289,0
2526021705,0
2526223820,0
2530231530,0
2534405286,0
2538284624,0
2538525062,0
2542482492,0
2546557340,0
2550577776,0
2550782150,0
2554791656,0
2558853953,0
2562972639,0
2566942282,0
2567120201,0
2571259746,0
2575199425,0
2579224149,0
2579412685,0
2583395687,0
2587565690,0
2591677770,0
2591928641,0
2595726640,0
2599755773,0
2604193601,0
2604464304,0
2607987778,0
2612139466,0
2616105397,0
2616369174,0
2620273523,0
2624468199,0
2628536715,0
2632478827,0
2632661360,0
2636753487,0
2640850868,0
2644826219,0
2645102948,0
2648990652,0
2653072018,0
2657173758,0
2657404512,0
2661272147,0
2665330721,0
2669988831,0
2670203210,0
2673639856,0
2677620496,0
2681656241,0
2685756323,0
2686028564,0
2690117818,0
2694127046,0
2698093873,0
2698329530,0
2702632736,0
2706302481,0
2710407658,0
2710625168,0
2714511214,0
2718662469,0
2722675099,0
2722906858,0
2726801032,0
2730827380,0
2734960989,0
2735177953,0
2739088723,0
2743198629,0
2748288011,0
2751315817,0
2752115966,0
2755578553,0
2759612377,0
2763585903,0
2763827043,0
2767815239,0
2771846778,0
2776292604,0
2776526709,0
2780046788,0
2784126755,0
2788509390,0
2788747093,0
2792423634,0
2796389884,0
2800424216,0
2800632933,0
2804793375,0
2808703504,0
2812767965,0
2816879777,0
2817084529,0
2821186930,0
2825142013,0
2829160090,0
2829364159,0
2833258165,0
2837487627,0
2841522486,0
2841761383,0
2845573277,0
2849570343,0
2854463779,0
2854731672,0
2857815335,0
2861976695,0
2865979096,0
2866207167,0
2870167289,0
2874232410,0
2878525126,0
2882359643,0
2882579222,0
2886570647,0
2890618793,0
2894653502,0
2894887895,0
2898785109,0
2902947029,0
2906961183,0
2907201052,0
2911088079,0
2915156098,0
2919225861,0
2919478129,0
2923488039,0
2927467037,0
2931477466,0
2931662459,0
2935758834,0
2939741596,0
2943884144,0
2947914484,0
2948153954,0
2952110761,0
2956095769,0
2960238643,0
2960504207,0
2964417132,0
2968479224,0
2972757977,0
2973008547,0
2976642293,0
2980683113,0
2984852410,0
2985329567,0
2989083415,0
2992999425,0
2997036825,0
2997236865,0
3001257097,0
3005274112,0
3009553960,0
3013421119,0
3013653971,0
3017596182,0
3021666280,0
3025692512,0
3026015776,0
3029923482,0
3034005358,0
3038043457,0
3038237878,0
3042142752,0
3046243595,0
3050237615,0
3050414141,0
3054512090,0
3058469469,0
3062548629,0
3062742474,0
3066684928,0
3071207298,0
3075021837,0
3078949735,0
3079182141,0
3083197205,0
3087559183,0
3091204974,0
3091455105,0
3095459938,0
3099468209,0
3103540328,0
3103823507,0
3107698420,0
3112199685,0
3115841988,0
3116046530,0
3121493496,0
3124052096,0
3128251051,0
3128486541,0
3132236708,0
3136588571,0
3140465815,0
3144677714,0
3144947531,0
3148666066,0
3152719374,0
3156801598,0
3157053653,0
3161093762,0
3164986748,0
3169400457,0
3169618689,0
3173256243,0
3177251846,0
3181325175,0
3181508191,0
3185565827,0
3189641200,0
3193634662,0
3197731730,0
3197998791,0
3202148869,0
3206010939,0
3210013875,0
3210267689,0
3214206474,0
3218643792,0
3222460693,0
3222691924,0
3226483365,0
3230563940,0
3235169750,0
3235393364,0
3238750805,0
3242972897,0
3246911663,0
3247118621,0
3251072974,0
3255136837,0
3259158486,0
3263251419,0
3263475530,0
3267448118,0
3271577998,0
3275551929,0
3275826815,0
3279752811,0
3283837439,0
3287938821,0
3288168194,0
3292008910,0
3296143013,0
3300156488,0
3300383287,0
3304447876,0
3308429525,0
3312427788,0
3312661894,0
3316603216,0
3320656681,0
3324743862,0
3328792800,0
3329058928,0
3333037954,0
3337062096,0
3341056270,0
3341269538,0
3345334613,0
3349332656,0
3353701551,0
3353962977,0
3357584166,0
3361599789,0
3365695128,0
3365962916,0
3369841127,0
3373967982,0
3377988664,0
3378261753,0
3382259766,0
3386172420,0
3390285660,0
3394366763,0
3394622259,0
3398491432,0
3402542163,0
3406618651,0
3406829465,0
3410778833,0
3414807858,0
3418918930,0
3419124921,0
3425221706,0
3427116424,0
3432104229,0
3432326045,0
3436089259,0
3441321203,0
3443458334,0
3443635772,0
3449236950,0
3452597619,0
3458649257,0
3461931044,0
3462149266,0
3464356778,0
3468724991,0
3472582938,0
3472777158,0
3478628688,0
3482072315,0
3484401743,0
3484606294,0
3491031666,0
3492783304,0
3497108342,0
3497635001,0
3501754741,0
3508613720,0
3509009487,0
3509245851,0
3517034398,0
3518688088,0
3525098415,0
3525419824,0
3525640820,0
3533081925,0
3535223988,0
3538934698,0
3539174248,0
3541985750,0
3546085230,0
3551571225,0
3551751388,0
3554159452,0
3558124715,0
3563223062,0
3563489750,0
3566460575,0
3570509626,0
3577031786,0
3577164838,0
3578934814,0
3583779736,0
3586874830,0
3591369524,0
3594015330,0
3595680076,0
3599262936,0
3603101127,0
3603225214,0
3607289949,0
3613056211,0
3615426019,0
3615724591,0
3620530580,0
3623657957,0
3627931819,0
3629946493,0
3631896945,0
3635954482,0
3640196349,0
3642934157,0
3647066698,0
3648534896,0
3654217898,0
3657056729,0
3657224424,0
3661063736,0
3664622465,0
3669011563,0
3669178378,0
3673954985,0
3676901009,0
3681065774,0
3681205166,0
3685178354,0
3689277547,0
3693319532,0
3693448391,0
3697360153,0
3701715101,0
3706153918,0
3709669375,0
3709807364,0
3715992775,0
3721177818,0
3721809235,0
3721917940,0
3726012444,0
3730140680,0
3734288716,0
3734408463,0
3741054550,0
3744042341,0
3746445308,0
3746632185,0
3750713285,0
3755075730,0
3761080392,0
3761199761,0
3763650588,0
3767613960,0
3772043809,0
3775152384,0
3775421689,0
3779330102,0
3783619526,0
3787488950,0
3787639482,0
3791581378,0
3795631559,0
3800959716,0
3801122181,0
3803922547,0
3808007424,0
3811998731,0
3812109683,0
3818108919,0
3820199914,0
3824433181,0
3824560956,0
3828467284,0
3832594034,0
3836576054,0
3840632403,0
3840741098,0
3844840468,0
3848882819,0
3852952511,0
3853061262,0
3857567273,0
3861587928,0
3866372452,0
3866839676,0
3869976517,0
3873736782,0
3877908040,0
3878445159,0
3882168752,0
3886633497,0
3891202909,0
3891763133,0
3895173280,0
3898568191,0
3903152334,0
3906492381,0
3906963126,0
3911357390,0
3914841728,0
3921455463,0
3921950872,0
3924493024,0
3927377607,0
3931489146,0
3933101427,0
3935412928,0
3939942834,0
3943314598,0
3943692959,0
3951703221,0
3952219517,0
3955760099,0
3956284020,0
3962569210,0
3963905045,0
3968501702,0
3972186018,0
3972615627,0
3976319202,0
3981218236,0
3984263044,0
3984586238,0
3989587909,0
3993121604,0
3998309819,0
3998808423,0
4002424382,0
4005381098,0
4011280513,0
4011775005,0
4013113313,0
4017372087,0
4022758975,0
4023518215,0
4025657112,0
4029599575,0
4034507350,0
4038271851,0
4038894697,0
4042389581,0
4047049261,0
4049965237,0
4055762045,0
4056987961,0
4059248737,0
4062544761,0
4063063146,0
4066423537,0
4073008471,0
4074184157,0
4074411235,0
4080488625,0
4082606918,0
4086460932,0
4086667596,0
4090586319,0
4094658654,0
4098730098,0
4102855309,0
4103020772,0
4106915360,0
4111031580,0
4115174262,0
4115267070,0
4119225106,0
4123281272,0
4127389498,0
4127506955,0
4131517108,0
4135606405,0
4139674861,0
4139804164,0
4143829774,0
4147909364,0
4151980061,0
4152089783,0
4156060488,0
4160199584,0
4164310538,0
4168334283,0
4168441759,0
4172473768,0
4176544443,0
4180624185,0
4180727782,0
4184725544,0
4188924280,0
4192938780,0
4193051603,0
4197074687,0
4201224918,0
4205192046,0
4205332430,0
4209468080,0
4213451843,0
4217576859,0
4217768503,0
4221619558,0
4225847556,0
4229878718,0
4233942891,0
4234138753,0
4238047155,0
4242196646,0
4246388445,0
4246633158,0
4250440838,0
4254694551,0
4258717448,0
4259162274,0
4263799865,0
4267079841,0
4271154726,0
4271697128,0
4275401302,0
4281032704,0
4284347422,0
4287458720,0
4287970935,0
4291957614,0
4296458829,0
4299669307,0
4300193336,0
4304031004,0
4308153692,0
4312192748,0
4312662249,0
4316467910,0
4320444542,0
4324336215,0
4324784231,0
4329251280,0
4332702578,0
4337343835,0
4337985582,0
4341577802,0
4345712050,0
4348844075,0
4354173154,0
4354641336,0
4357426550,0
4361544964,0
4365445870,0
4365943713,0
4370265968,0
4373592514,0
4377550036,0
4378096973,0
4382313768,0
4385996787,0
4390542443,0
4391520854,0
4394215818,0
4398180797,0
4402997320,0
4403608549,0
4406428592,0
4412529972,0
4414541405,0
4421362568,0
4421984995,0
4422832680,0
4427609880,0
4430730977,0
4431173292,0
4435159447,0
4440662349,0
4443327360,0
4443811625,0
4447610845,0
4451395394,0
4455361599,0
4456351543,0
4459640492,0
4463762328,0
4467675526,0
4468184453,0
4472074562,0
4477835323,0
4480981654,0
4484170233,0
4484707998,0
4488463873,0
4492432691,0
4496292004,0
4496633006,0
4500559955,0
4504592742,0
4508564649,0
4509107826,0
4513317729,0
4516993718,0
4522394245,0
4522855163,0
4525383494,0
4529302173,0
4533128973,0
4533517893,0
4537380466,0
4541528125,0
4545552741,0
4549405598,0
4549611148,0
4553556767,0
4557619060,0
4561576403,0
4561749764,0
4566883678,0
4569750406,0
4574201996,0
4574376770,0
4578412311,0
4582038938,0
4586213351,0
4586349737,0
4590318227,0
4594307720,0
4598949923,0
4599184988,0
4602643811,0
4606750350,0
4610646421,0
4614803290,0
4614953654,0
4618969138,0
4623068800,0
4627047957,0
4627210382,0
4631216737,0
4635285275,0
4639424906,0
4639608269,0
4643645514,0
4647661345,0
4651847947,0
4652124847,0
4656239004,0
4660028613,0
4664058558,0
4664277313,0
4668194810,0
4672361219,0
4676462767,0
4680411156,0
4680620627,0
4684619609,0
4688712188,0
4692775199,0
4693148270,0
4696923397,0
4701081660,0
4705011685,0
4705256224,0
4709191983,0
4713989689,0
4717274222,0
4717512665,0
4721559111,0
4725507731,0
4729580839,0
4729901826,0
4733811019,0
4737895323,0
4742108763,0
4746219835,0
4746468170,0
4750178899,0
4754205388,0
4759177912,0
4759511941,0
4762505241,0
4766522511,0
4770519503,0
4771178553,0
4775124873,0
4778785022,0
4782812716,0
4783093682,0
4787076085,0
4791262984,0
4795689491,0
4799192080,0
4799402227,0
4803331954,0
4807493472,0
4812613363,0
4812904073,0
4816225543,0
4822158094,0
4823795429,0
4824117951,0
4828117186,0
4832167117,0
4838089707,0
4838407272,0
4845174018,0
4845498617,0
4850367092,0
4850634811,0
4852614437,0
4858201924,0
4862506731,0
4864664131,0
4864839042,0
4868899757,0
4874248627,0
4877311608,0
4877483773,0
4881092697,0
4885170828,0
4889214362,0
4889330712,0
4893454749,0
4897424269,0
4901536145,0
