Index,Wert
1,13.0
2,11.0
3,12.0
4,13.0
5,14.0
6,13.0
7,13.0
8,13.0
9,12.0
10,12.0
11,11.0
12,12.0
13,18.0
14,15.0
15,21.0
16,22.0
17,22.0
18,28.0
19,24.0
20,23.0
21,18.0
22,21.0
23,24.0
24,17.0
25,28.0
26,21.0
27,28.0
28,23.0
29,26.0
30,24.0
31,31.0
32,24.0
33,24.0
34,21.0
35,24.0
36,22.0
37,24.0
38,21.0
39,23.0
40,21.0
41,21.0
42,20.0
43,18.0
44,12.0
45,26.0
46,22.0
47,25.0
48,25.0
49,21.0
50,27.0
51,24.0
52,29.0
53,20.0
54,19.0
55,20.0
56,23.0
57,36.0
58,31.0
59,32.0
60,33.0
61,34.0
62,36.0
63,27.0
64,26.0
65,27.0
66,27.0
67,30.0
68,27.0
69,23.0
70,21.0
71,13.0
72,16.0
73,34.0
74,33.0
75,34.0
76,35.0
77,37.0
78,40.0
79,42.0
80,45.0
81,38.0
82,36.0
83,40.0
84,41.0
85,38.0
86,44.0
87,40.0
88,29.0
89,31.0
90,34.0
91,39.0
92,36.0
93,36.0
94,40.0
95,35.0
96,36.0
97,44.0
98,46.0
99,46.0
100,52.0
101,45.0
102,40.0
103,46.0
104,46.0
105,46.0
106,55.0
107,46.0
108,39.0
109,40.0
110,44.0
111,43.0
112,40.0
113,35.0
114,35.0
115,39.0
116,41.0
117,43.0
118,44.0
119,53.0
120,44.0
121,39.0
122,52.0
123,49.0
124,48.0
125,50.0
126,38.0
127,39.0
128,46.0
129,44.0
130,53.0
131,48.0
132,39.0
133,38.0
134,38.0
135,39.0
136,38.0
137,44.0
138,37.0
139,45.0
140,43.0
141,48.0
142,48.0
143,50.0
144,41.0
145,43.0
146,48.0
147,51.0
148,57.0
149,51.0
150,43.0
151,51.0
152,50.0
153,48.0
154,51.0
155,42.0
156,36.0
157,43.0
158,45.0
159,43.0
160,49.0
161,46.0
162,47.0
163,50.0
164,53.0
165,50.0
166,46.0
167,49.0
168,47.0
169,47.0
170,49.0
171,50.0
172,49.0
173,46.0
174,48.0
175,49.0
176,46.0
177,46.0
178,45.0
179,37.0
180,32.0
181,29.0
182,28.0
183,20.0
184,32.0
185,24.0
186,36.0
187,32.0
188,24.0
189,26.0
190,52.0
191,48.0
192,58.0
193,56.0
194,49.0
195,48.0
196,45.0
197,45.0
198,45.0
199,39.0
200,42.0
201,43.0
202,41.0
203,41.0
204,43.0
205,32.0
206,21.0
207,30.0
208,34.0
209,31.0
210,30.0
211,35.0
