Zeit in ms, Spannung in Einheitslos
1485688,386
1583277,384
1660407,385
1755467,385
1837140,386
1927136,387
2006656,387
2083966,388
2211738,389
2289380,390
2368724,390
2450119,392
2530685,393
2615130,393
2695124,392
2789675,392
2857713,393
2940596,391
3026348,392
3095126,391
3156125,389
3218503,389
3383587,389
3442672,387
3505196,386
3564903,384
3633574,385
3716038,385
3799511,386
3892380,387
3958856,387
4035937,388
4099828,389
4184514,390
4250319,390
4313138,392
4374191,393
4466132,393
4550680,392
4618071,392
4678028,393
4788936,391
4855625,392
4924622,391
5004591,389
5091120,389
1692139544,395
1692680024,393
1693298923,395
1693878517,396
1694305432,395
1696255996,396
1696844668,398
1697426818,397
1697970267,397
1698318331,396
1698650428,397
1699039129,395
1699646918,396
1700332688,396
1700946979,395
1701473350,394
1702122458,394
1702782678,394
1703276599,393
1703903682,392
1704433460,390
1705081073,389
1705782949,389
1706459347,389
1707210217,388
1707696158,389
1708180834,389
1708634127,390
1709165298,390
1709626780,392
1710213957,392
1710718612,391
1711242427,392
1711622537,393
1712085490,395
1712573478,395
1713066143,396
1713468891,396
1713954671,397
1714405621,397
1715003635,396
1715473117,398
1715981760,397
1716528470,397
1717124029,396
1717660594,395
1718215432,395
1718670792,394
1719187422,393
1719653709,391
1720284325,390
1720944112,390
1721507556,389
1722102206,389
1722685377,388
1723288996,390
1723807512,392
1724298805,391
1724839704,394
1725373240,395
1725974395,396
1726550963,395
1727120074,396
1727571972,397
1728044446,397
1728468619,398
1728995846,398
1729501979,397
1730065894,396
1730511743,396
1730856677,396
1731064646,394
1731287223,393
1731515064,391
1731753394,390
1731981937,389
1732208346,388
1732432640,389
1732656318,391
1732937121,391
1733168646,393
1733422583,394
1733680011,395
1734007687,396
1734267070,397
1734523366,397
1734887080,397
1735136610,398
1735398684,398
1735626368,399
1735933475,398
1736226273,397
1736462073,396
1736696016,397
1736955432,396
1737176914,393
1737403404,393
1737627982,391
1737844693,390
1737998904,389
1738172794,391
1738368168,390
1738579957,390
1738783785,393
1738912029,393
1739028672,395
1739141402,395
1739329153,395
1739475602,397
1739634609,398
1741040631,399
1741276821,399
1741488664,399
1741754732,398
1741980398,399
1742159065,398
1742332393,397
1742490069,396
1742643015,395
1742847901,394
1745020628,392
1745281060,391
1745446515,389
1745588161,390
1745754710,391
1745898107,391
1746044686,391
1746175593,393
1746319128,393
1746466042,394
1749098721,395
1749242250,398
1749380256,399
1749537385,399
1749660911,399
1749816630,400
1749961664,400
1750119347,399
1750269644,398
1753085241,397
1753178170,397
1753267428,396
1753356508,394
1753476802,394
1753613683,391
1753769627,390
1753908040,391
1754048668,392
1754193224,391
1757233527,393
1757371763,393
1757503299,394
1757646272,395
1757809385,397
1757942101,397
1758068859,398
1758198406,399
1758346407,399
1758474083,399
1761434930,400
1761556904,399
1761677868,400
1761812948,399
1761932740,398
1762076423,397
1762266436,395
1762436286,395
1762578149,393
1765396587,391
1765507958,391
1765618627,390
1765757830,391
1765861004,392
1765961411,394
1766167780,394
1766295949,394
1766440459,396
1766573699,398
1769521942,398
1769656823,399
1769785641,400
1769869091,400
1769950026,400
1770032340,400
1770164578,399
1770315324,400
1770453958,398
1770580988,397
1773685969,398
1773838409,396
1773949383,395
1774055325,393
1774177395,391
1774306141,391
1774458449,392
1774606402,392
1774765302,393
1777780690,392
1777941088,393
1778047691,395
1778153095,397
1778260640,398
1778408615,399
1778557945,400
1778704789,401
1778834164,403
1778992207,406
1781820395,406
1781932436,407
1782004907,406
1782100629,404
1782192404,404
1782300536,403
1782406192,401
1782515715,399
1782621860,395
1785909399,392
1786011256,392
1786108238,392
1786203561,393
1786302197,392
1786399222,393
1786534040,395
1786681381,394
1786841974,397
1786987898,398
1790044380,398
1790191519,399
1790316530,401
1790437739,404
1790557894,406
1790686464,407
1790819622,406
1790929260,405
1791046887,404
1791158712,404
1794197148,403
1794353362,401
1794516980,398
1794655194,395
1794794551,392
1794903035,392
1795063193,393
1795204457,392
1795375990,395
1798192248,394
1798285074,396
1798367943,397
1798504771,398
1798643827,399
1798788650,400
1798958499,400
1799068710,400
1799190136,400
1799322379,399
1802359505,400
1802478257,398
1802550303,397
1802682792,398
1802806064,395
1802877536,394
1802951079,393
1803070960,392
1803187732,390
1803316642,391
1806446385,391
1806601668,392
1806727038,394
1806864592,395
1806981292,395
1807097549,397
1807212684,397
1807327502,399
1807443933,399
1810606322,399
1810753354,399
1810899227,399
1811032454,401
1811667602,404
1812087300,406
1812231639,406
1812362972,404
1812556187,404
1812808204,403
1814663157,401
1814798414,400
1814876305,395
1814976844,392
1815118679,392
1815247914,393
1815383139,393
1815518086,395
1815654012,396
1818706222,396
1818841508,396
