Zeit in ms, Spannung in Einheitslos
1198830,4
1310823,245
1428404,248
1538525,236
1633876,268
1728343,239
1824237,279
1910494,250
2030375,266
2125982,269
2221091,263
2331113,272
2428545,222
2526092,264
2621189,242
2718908,267
2828738,252
2920091,259
3038082,248
3122512,244
3212901,258
3296050,242
3392725,258
3485055,209
103777953,25
1693625683,331
1694333011,281
1694892350,329
1695579420,274
1696457167,332
1697457104,311
1698106896,327
1698727080,312
1699337621,310
1699872826,313
1700441484,311
1701007958,325
1701576428,299
1702203833,324
1704655539,274
1705593104,315
1706255798,245
1706790416,315
1707448089,306
1708151988,307
1708687879,309
1709335085,284
1710361305,306
1712588439,273
1713292037,329
1714151751,274
1714835757,348
1715524861,279
1716195883,350
1716751591,319
1717557359,372
1718156457,318
1718685531,377
1722314725,314
1724347555,366
1724999469,327
1725755023,332
1726545513,269
1728017177,298
1728673247,232
1729672750,287
1731718816,284
1732483046,340
1733105454,355
1733568383,337
1734204061,309
1734768322,342
1737210319,349
1737810949,319
1738569182,298
1739253783,328
1739993975,312
1740912089,291
1741567220,298
1742280504,286
1742830995,293
1743488155,301
1744171738,262
1744745621,314
1745331309,348
1745808887,322
1746467665,332
1747177266,347
1747699773,341
1748262484,302
1748840467,342
1749470597,338
1750042186,318
1750623036,323
1751239750,340
1751833358,318
1752479416,272
1753103870,324
1753714267,313
1754285069,260
1754795943,312
1755471880,318
1756124991,291
1756718294,337
1757244168,327
1757753026,302
1758370148,329
1759008963,336
1759520439,305
1760118298,307
1760688497,331
1761278497,314
1761828835,302
1762356362,318
1762989841,309
1763789983,300
1764331149,320
1764773831,296
1765332908,290
1765924806,356
1766506153,352
1767099550,313
1767645519,343
1768224310,366
1770152309,344
1770647802,276
1771229807,314
1771703662,319
1772203388,287
1772650225,325
1773235147,318
1773729491,290
1774321865,321
1774834476,322
1775410053,284
1776051768,309
1776601636,345
1777189481,326
1777720533,326
1778371361,339
1778939264,338
1779585180,298
1780222314,335
1780797480,333
1781424228,308
1781979363,324
1782519380,336
1782998092,306
1783520142,300
1784123386,331
1784740647,315
1785469603,255
1786074079,316
1786659281,329
1787301937,302
1787804469,339
1788441464,339
1788999650,327
1789603816,320
1790233944,326
1790821458,313
1791501522,269
1792122509,338
1792600132,339
1793185527,295
1793769027,319
1794336923,337
1794811391,312
1795475683,312
1796490984,325
1797182361,313
1797726679,266
1798418522,327
1799046216,307
1799788973,265
1800561480,326
1801311173,312
1802189469,256
1802489299,324
1802790927,341
1803079143,322
1803300606,353
1803552481,357
1803809692,352
1804102768,315
1804372444,344
1804634267,339
1804914410,322
1805175358,277
1805386174,330
1805691348,314
1805927938,273
1806170318,324
1806382376,317
1806900672,267
1807191280,317
1807476462,350
1807779406,336
1808047569,341
1808272327,356
1808521280,358
1808733936,327
1808993704,328
1809243780,307
1809530067,286
1809781892,300
1810116607,308
1810390859,264
1810645522,299
1810897496,306
1811183985,270
1811347976,337
1811499138,352
1811691296,333
1811831585,346
1812022736,379
1812165695,377
1812301753,350
1812435869,279
1812569848,313
1812705880,301
1812855598,259
1813015992,337
1813152439,339
1813286692,290
1813423812,322
1813560694,336
1813735228,310
1813931888,317
1814115648,326
1814254891,311
1814395993,311
1814533860,328
1814682005,303
1814817451,295
1814970242,324
1815107144,307
1815242037,295
1815381857,322
1815530446,315
1815664464,309
1815842933,367
1815997462,369
1816134820,363
1816274266,329
1816419559,346
1816555696,328
1816689116,306
1816824956,306
1816989052,323
1817126612,294
1817266801,292
1817404359,321
1817542200,303
1817688831,318
1817841845,348
1818012494,361
1818161565,335
1818354686,345
1818573855,355
1818791891,351
1818997992,305
1819188394,313
1819368100,311
1819560890,277
1819765235,312
1820062799,309
1820257894,261
1820396524,301
1820541287,302
1820658163,243
1820764345,305
1820885495,286
1821030828,313
1821169847,377
1821303273,398
1821451247,371
1821586530,350
1821735242,345
1821866125,314
1822005930,275
1822122764,283
1822270739,309
1822422184,286
1822575910,327
1822721382,326
1822869459,306
1823013890,320
1823139450,334
1823287796,305
1823438109,306
1823585991,369
1823726776,368
1823870322,333
1824037790,333
1824144727,339
1824250100,314
1824363467,248
1824471659,297
1824579036,284
1824683748,286
1824789009,298
1824897132,256
1825021850,303
1825126537,316
1825244248,282
1825364553,340
1825487610,354
1825594499,346
1825701117,319
1825810986,362
1825916730,365
1826073337,342
1826176467,268
1826278098,310
1826384996,293
1826489816,277
1826612585,338
1826752536,336
1826861458,283
1827020590,329
1827139041,337
1827270289,303
1827440490,321
1827574609,330
1827689026,311
1827810175,315
1827922579,332
1828087683,304
1828204166,297
1828315012,327
1828429313,313
1828545715,249
1828659900,314
1828781026,302
1828897415,299
1829041328,317
1829187891,285
1829298440,301
1829393750,338
1829486101,334
1829612990,290
1829721118,349
1829826593,373
1829922710,361
1830090012,314
1830235519,348
1830338161,335
1832916764,283
1833043255,281
1833130342,284
1833219229,255
1833311663,345
1833411651,355
1833526087,317
1834161074,319
1834249631,352
1836328751,345
1836447989,301
1836531816,318
1836627022,335
1836706550,309
1836791331,314
1836872331,307
1836980689,284
1837070764,300
1837158700,303
1840465900,256
1840576732,292
1840681861,298
1840805903,283
1841068421,348
1841234390,343
1841384377,320
1841591830,334
1841715324,349
1841831353,330
1844562870,292
1844659236,347
1844739224,352
1844813237,316
1844884127,300
1844965159,326
1845036286,306
1845105198,300
1845174411,314
1848602708,305
1848689010,321
1848744810,338
1848824171,318
1848915996,281
1849011474,332
1849089291,325
1849173258,279
1849257170,315
1849339855,324
1852796087,290
1852871332,315
1852964416,312
1853086466,282
1853190212,315
1853284702,316
1853350585,282
1853432745,340
1853528296,385
1853616242,377
1856915246,334
1857011449,352
1857106841,341
1857187788,313
1857252875,250
1857338670,301
